Name,Database link,Rating,Votes,Company external link
Gft Iberia Solutions,http://www.trabajobasura.info/directorio/gft_iberia_solutions.html,4.99,29.0,http://www.gft-iberia.com
Glokal Consulting,http://www.trabajobasura.info/directorio/glokal_consulting.html,2.38,29.0,http://www.glokal.com
Irium consulting,http://www.trabajobasura.info/directorio/irium_consulting.html,3.15,29.0,http://www.irium.es
Near Technologies,http://www.trabajobasura.info/directorio/near_technologies.html,4.63,29.0,http://www.near.es
Telvent,http://www.trabajobasura.info/directorio/telvent.html,3.94,29.0,http://www.telvent.com/es/
Tex Digital,http://www.trabajobasura.info/directorio/tex_digital.html,2.12,29.0,http://www.texdigital.es
Diana Internet,http://www.trabajobasura.info/directorio/diana_internet.html,1.86,28.0,http://www.dianet-it.com
Pragsis Tech,http://www.trabajobasura.info/directorio/pragsis_tech.html,3.85,28.0,http://www.pragsis.com
T Systems,http://www.trabajobasura.info/directorio/t_systems.html,2.18,28.0,http://www.t-systems.es
Acuista Bonacuista,http://www.trabajobasura.info/directorio/acuista_bonacuista.html,1.46,27.0,http://www.acuista.com
Adecco,http://www.trabajobasura.info/directorio/adecco.html,2.81,27.0,http://www.adecco.es
Agrupo Sistemas,http://www.trabajobasura.info/directorio/agrupo_sistemas.html,4.23,27.0,http://www.agruposistemas.es
Clickitpoint,http://www.trabajobasura.info/directorio/clickitpoint.html,1.77,27.0,http://www.clickitpoint.es
Exis Ti,http://www.trabajobasura.info/directorio/exis_ti.html,3.02,27.0,http://www.exis-ti.com
Huawei Technologies,http://www.trabajobasura.info/directorio/huawei_technologies.html,4.13,27.0,http://www.huawei.com
Sogeti Transiciel,http://www.trabajobasura.info/directorio/sogeti_transiciel.html,4.85,27.0,http://www.es.sogeti.com/
Entelgy,http://www.trabajobasura.info/directorio/entelgy.html,3.1,26.0,http://www.entelgy.com
FUN Recycling SL,http://www.trabajobasura.info/directorio/fun_recycling_sl.html,6.96,26.0,http://www.fun.es
HP CDS,http://www.trabajobasura.info/directorio/hp_cds.html,4.52,26.0,http://www.hpcds.com
Tenea,http://www.trabajobasura.info/directorio/tenea.html,4.6,26.0,http://www.tenea.com
Transcom World Wide Spain SL,http://www.trabajobasura.info/directorio/transcom_world_wide_spain_sl.html,2.27,26.0,http://www.transcom.com
Tuyu Tecnology,http://www.trabajobasura.info/directorio/tuyu_tecnology.html,2.72,26.0,http://www.tuyu.es
bizpills,http://www.trabajobasura.info/directorio/bizpills.html,4.26,25.0,http://www.bizpills.es
Interface Iberica,http://www.trabajobasura.info/directorio/interface_iberica.html,4.2,25.0,http://www.interface-iberica.com
Alpama Global Services,http://www.trabajobasura.info/directorio/alpama_global_services.html,4.23,24.0,http://www.agsgroup.net
Cos Mantenimiento,http://www.trabajobasura.info/directorio/cos_mantenimiento.html,3.43,24.0,http://www.cosmantenimiento.com
Exceltic,http://www.trabajobasura.info/directorio/exceltic.html,4.05,24.0,http://www.exceltic.com
Optimissa,http://www.trabajobasura.info/directorio/optimissa.html,2.22,24.0,http://www.optimissa.net
At Sistemas,http://www.trabajobasura.info/directorio/at_sistemas.html,4.48,23.0,http://www.atsistemas.com
BBVA Globalnet,http://www.trabajobasura.info/directorio/bbva_globalnet.html,4.57,23.0,http://www.bbvaglobalnet.com
Efron Consulting,http://www.trabajobasura.info/directorio/efron_consulting.html,3.97,23.0,http://www.efronconsulting.com
Experience,http://www.trabajobasura.info/directorio/experience.html,3.48,23.0,http://www.experienceis.com
General Software,http://www.trabajobasura.info/directorio/general_software.html,2.77,23.0,http://www.generalsw.com
Grupo MST,http://www.trabajobasura.info/directorio/grupo_mst.html,4.57,23.0,http://www.mst.es
Novasoft,http://www.trabajobasura.info/directorio/novasoft.html,3.46,23.0,http://www.novasoft.es
Panel Sistemas Informaticos,http://www.trabajobasura.info/directorio/panel_sistemas_informaticos.html,4.27,23.0,http://www.panel.es
Acerca Consulting,http://www.trabajobasura.info/directorio/acerca_consulting.html,3.83,22.0,http://www.acercatic.es
Aventia,http://www.trabajobasura.info/directorio/aventia.html,5.09,22.0,http://www.aventia.com
Bismart,http://www.trabajobasura.info/directorio/bismart.html,2.02,22.0,http://www.bismart.es
Drago Solutions,http://www.trabajobasura.info/directorio/drago_solutions.html,2.12,22.0,http://www.dragosolutions.com
Expectra Technology,http://www.trabajobasura.info/directorio/expectra_technology.html,3.18,22.0,http://www.expectra.es
Grupo Tecopy,http://www.trabajobasura.info/directorio/grupo_tecopy.html,3.2,22.0,http://www.grupotecopy.es
Microblanc Informatica,http://www.trabajobasura.info/directorio/microblanc_informatica.html,6.25,22.0,http://www.microblanc.es
Atmira,http://www.trabajobasura.info/directorio/atmira.html,4.7,21.0,http://www.atmira.com
Babel Sistemas,http://www.trabajobasura.info/directorio/babel_sistemas.html,4.09,21.0,http://babel.es
Bilbomatica,http://www.trabajobasura.info/directorio/bilbomatica.html,1.48,21.0,http://www.bilbomatica.es
In2,http://www.trabajobasura.info/directorio/in2.html,3.77,21.0,http://www.in2.es
Inforein,http://www.trabajobasura.info/directorio/inforein.html,0.48,21.0,http://www.inforein.es
osiatis,http://www.trabajobasura.info/directorio/osiatis.html,2.63,21.0,http://www.osiatis.es
Neoris,http://www.trabajobasura.info/directorio/neoris.html,3.72,20.0,http://www.neoris.com
New Horizons,http://www.trabajobasura.info/directorio/new_horizons.html,1.72,20.0,http://www.newhorizons.com
Stg Consultores SL,http://www.trabajobasura.info/directorio/stg_consultores_sl.html,2.94,20.0,http://www.stgconsultores.com
Devoteam,http://www.trabajobasura.info/directorio/devoteam.html,3.13,19.0,http://www.devoteam.es
Eikondata,http://www.trabajobasura.info/directorio/eikondata.html,6.56,19.0,http://www.eikondata.es
InnoTec System,http://www.trabajobasura.info/directorio/innotec_system.html,6.7,19.0,http://innotecsystem.com
K lagan,http://www.trabajobasura.info/directorio/k_lagan.html,5.08,19.0,http://www.k-lagan.com
Paradigma Tecnologico,http://www.trabajobasura.info/directorio/paradigma_tecnologico.html,4.97,19.0,http://www.paradigmatecnologico.com
Polar Shs,http://www.trabajobasura.info/directorio/polar_shs.html,3.1,19.0,http://www.polar.es
Tissat,http://www.trabajobasura.info/directorio/tissat.html,7.18,19.0,http://www.tissat.es
Arca Ingenieros,http://www.trabajobasura.info/directorio/arca_ingenieros.html,3.74,18.0,http://www.arcaingenieros.net
Arista Ingenieria Tecnologica,http://www.trabajobasura.info/directorio/arista_ingenieria_tecnologica.html,5.53,18.0,http://www.grupo-arista.com
F-Iniciativas,http://www.trabajobasura.info/directorio/f-iniciativas.html,2.94,18.0,http://www.f-iniciativas.es/finiciativas/presentacion/
Garben,http://www.trabajobasura.info/directorio/garben.html,2.8,18.0,http://www.garben.com
GMV,http://www.trabajobasura.info/directorio/gmv.html,4.9,18.0,http://www.gmv.es
Iberforce Consulting,http://www.trabajobasura.info/directorio/iberforce_consulting.html,3.5,18.0,http://www.iberforce.es
Netmind,http://www.trabajobasura.info/directorio/netmind.html,4.15,18.0,http://www.netmind.es
Planet Media Estudios,http://www.trabajobasura.info/directorio/planet_media_estudios.html,2.28,18.0,http://www.planetmedia.es
Qualytel,http://www.trabajobasura.info/directorio/qualytel.html,2.64,18.0,http://www.qualytel.com
serinfer,http://www.trabajobasura.info/directorio/serinfer.html,3.74,18.0,http://www.serinfer.com
Assystem iberia,http://www.trabajobasura.info/directorio/assystem_iberia.html,2.9,17.0,http://www.assystem.com
Deimos Space,http://www.trabajobasura.info/directorio/deimos_space.html,2.63,17.0,http://www.deimos-space.com
GFI Centro,http://www.trabajobasura.info/directorio/gfi_centro.html,5.13,17.0,http://www.gfi-info.com
Infortec SL,http://www.trabajobasura.info/directorio/infortec_sl.html,5.28,17.0,http://www.infortec.net
Microforum,http://www.trabajobasura.info/directorio/microforum.html,3.55,17.0,http://www.microforum.es
Omnisoft Informatica SA,http://www.trabajobasura.info/directorio/omnisoft_informatica_sa.html,4.07,17.0,http://www.omnisoft-informatica.es
Segula Abgam,http://www.trabajobasura.info/directorio/segula_abgam.html,3.26,17.0,http://www.abgam.es
Solutio,http://www.trabajobasura.info/directorio/solutio.html,3.12,17.0,http://www.gruposolutio.com
Atento,http://www.trabajobasura.info/directorio/atento.html,4.74,16.0,http://www.atento.es
Avertia IT services,http://www.trabajobasura.info/directorio/avertia_it_services.html,6.15,16.0,
Bahia Software,http://www.trabajobasura.info/directorio/bahia_software.html,5.46,16.0,http://www.bahiasoftware.es
Comasis Consultores SL,http://www.trabajobasura.info/directorio/comasis_consultores_sl.html,4.46,16.0,http://www.comasis.com
Digital Training SL,http://www.trabajobasura.info/directorio/digital_training_sl.html,3.9,16.0,http://www.grupodigital.eu
Domestika,http://www.trabajobasura.info/directorio/domestika.html,3.71,16.0,http://www.domestika.com/
Ipsa,http://www.trabajobasura.info/directorio/ipsa.html,2.83,16.0,http://www.ipsa.es
lgtspain,http://www.trabajobasura.info/directorio/lgtspain.html,2.1,16.0,http://www.lgtspain.com
MGT Consulting,http://www.trabajobasura.info/directorio/mgt_consulting.html,3.49,16.0,http://www.mgt-consulting.com
Produban,http://www.trabajobasura.info/directorio/produban.html,3.8,16.0,
Tcp Sistemas E Ingenieria,http://www.trabajobasura.info/directorio/tcp_sistemas_e_ingenieria.html,4.7,16.0,http://www.tcpsi.com
Birchman,http://www.trabajobasura.info/directorio/birchman.html,3.53,15.0,http://www.thebirchmangroup.com
Cesser informatica,http://www.trabajobasura.info/directorio/cesser_informatica.html,3.29,15.0,http://www.cesser.com
Cibernos,http://www.trabajobasura.info/directorio/cibernos.html,4.43,15.0,http://www.cibernos.com
CMMI project,http://www.trabajobasura.info/directorio/cmmi_project.html,4.2,15.0,http://www.cmmi-project.com
Daema,http://www.trabajobasura.info/directorio/daema.html,4.22,15.0,http://www.daema.biz
Fractalia,http://www.trabajobasura.info/directorio/fractalia.html,3.94,15.0,http://www.fractalia.biz
Gesfor,http://www.trabajobasura.info/directorio/gesfor.html,3.18,15.0,http://www.gesfor.es
Grupo Seidor,http://www.trabajobasura.info/directorio/grupo_seidor.html,4.88,15.0,http://www.seidor.es
itnow,http://www.trabajobasura.info/directorio/itnow.html,2.83,15.0,http://www.itnow.es
Nexus IT,http://www.trabajobasura.info/directorio/nexus_it.html,2.57,15.0,http://www.nexus-it.es
PowerData,http://www.trabajobasura.info/directorio/powerdata.html,2.67,15.0,http://www.powerdata.es
Quental Technologies,http://www.trabajobasura.info/directorio/quental_technologies.html,3.6,15.0,http://www.quental.com
Sotec,http://www.trabajobasura.info/directorio/sotec.html,2.77,15.0,http://www.sotec.es
Anova IT Consulting,http://www.trabajobasura.info/directorio/anova_it_consulting.html,3.47,14.0,http://www.anovagroup.es
CAS Training,http://www.trabajobasura.info/directorio/cas_training.html,3.33,14.0,http://www.cas-training.com
Experis,http://www.trabajobasura.info/directorio/experis.html,2.76,14.0,http://www.experis.com
Grupo ICA,http://www.trabajobasura.info/directorio/grupo_ica.html,3.52,14.0,http://www.grupoica.com
Ingertec,http://www.trabajobasura.info/directorio/ingertec.html,5.01,14.0,http://www.ingertec.com
Intermatica,http://www.trabajobasura.info/directorio/intermatica.html,3.22,14.0,http://www.intermatica.es
Kynetia,http://www.trabajobasura.info/directorio/kynetia.html,2.59,14.0,http://www.kynetia.com
Matchmind,http://www.trabajobasura.info/directorio/matchmind.html,3.98,14.0,http://www.matchmind.es
Page Personnel,http://www.trabajobasura.info/directorio/page_personnel.html,3.83,14.0,http://www.pagepersonnel.es
Umanis,http://www.trabajobasura.info/directorio/umanis.html,3.63,14.0,http://www.umanis.com
Altia Consultores,http://www.trabajobasura.info/directorio/altia_consultores.html,2.81,13.0,http://www.altia.es
Apara,http://www.trabajobasura.info/directorio/apara.html,3.6,13.0,http://www.aparasw.com
Arghos,http://www.trabajobasura.info/directorio/arghos.html,2.2,13.0,http://www.aernnova.com/user/sp/engineering_services.php
bq,http://www.trabajobasura.info/directorio/bq.html,2.5,13.0,http://www.bqreaders.com
cic consulting,http://www.trabajobasura.info/directorio/cic_consulting.html,3.06,13.0,http://www.cic-sl.es/
Dacartec,http://www.trabajobasura.info/directorio/dacartec.html,4.3,13.0,http://www.dacartec.com
Delaware Consultoria,http://www.trabajobasura.info/directorio/delaware_consultoria.html,3.94,13.0,http://www.forward-thinking.biz
Deloitte,http://www.trabajobasura.info/directorio/deloitte.html,3.63,13.0,http://www.deloitte.com
Eds,http://www.trabajobasura.info/directorio/eds.html,3.23,13.0,http://www.eds.com
Grupo Almia,http://www.trabajobasura.info/directorio/grupo_almia.html,4.63,13.0,http://grupoalmia.com
Grupo BTI,http://www.trabajobasura.info/directorio/grupo_bti.html,5.0,13.0,http://www.grupobti.es
Grupo Celeris,http://www.trabajobasura.info/directorio/grupo_celeris.html,3.13,13.0,http://www.grupoceleris.com
Ingenia,http://www.trabajobasura.info/directorio/ingenia.html,2.54,13.0,http://www.ingenia.es
ioon-technologies,http://www.trabajobasura.info/directorio/ioon-technologies.html,3.94,13.0,http://www.ioon-technologies.com
Kirubs,http://www.trabajobasura.info/directorio/kirubs.html,5.15,13.0,http://www.kirubs.com
Quality objects,http://www.trabajobasura.info/directorio/quality_objects.html,6.03,13.0,http://www.qualityobjects.com
SIAG,http://www.trabajobasura.info/directorio/siag.html,2.6,13.0,http://www.siag.es
sivsa,http://www.trabajobasura.info/directorio/sivsa.html,4.84,13.0,http://www.sivsa.com
Steria,http://www.trabajobasura.info/directorio/steria.html,4.47,13.0,http://www.steria.es
Stratesys,http://www.trabajobasura.info/directorio/stratesys.html,3.3,13.0,http://www.stratesys.es
Tecsidel,http://www.trabajobasura.info/directorio/tecsidel.html,2.0,13.0,http://www.tecsidel.es
Telindus SA,http://www.trabajobasura.info/directorio/telindus_sa.html,2.54,13.0,http://www.telindus.es
Th Consultores,http://www.trabajobasura.info/directorio/th_consultores.html,5.0,13.0,http://www.telehiper.com
Beeva,http://www.trabajobasura.info/directorio/beeva.html,6.51,12.0,http://www.beeva.com
CLC Compania de Limpieza y Conservacion,http://www.trabajobasura.info/directorio/clc_compania_de_limpieza_y_conservacion.html,4.4,12.0,
Competitive strategy insurance,http://www.trabajobasura.info/directorio/competitive_strategy_insurance.html,3.14,12.0,http://www.csi-ti.com
Directive Soft,http://www.trabajobasura.info/directorio/directive_soft.html,3.66,12.0,http://www.directivesoft.es
gfi norte,http://www.trabajobasura.info/directorio/gfi_norte.html,2.83,12.0,http://www.gfi.es
Invoca Consulting,http://www.trabajobasura.info/directorio/invoca_consulting.html,3.93,12.0,http://www.invocaconsulting.com
Join6 SL,http://www.trabajobasura.info/directorio/join6_sl.html,5.75,12.0,http://www.join6.com
Klave K PS,http://www.trabajobasura.info/directorio/klave_k_ps.html,2.48,12.0,http://www.klave.com
Phibo,http://www.trabajobasura.info/directorio/phibo.html,3.47,12.0,http://www.phibo.com
Randstad Project Services Ett,http://www.trabajobasura.info/directorio/randstad_project_services_ett.html,2.7,12.0,http://www.randstad.es
Teamlog Iberica SA,http://www.trabajobasura.info/directorio/teamlog_iberica_sa.html,2.2,12.0,http://www.teamlog.es
Tecnoy,http://www.trabajobasura.info/directorio/tecnoy.html,4.74,12.0,http://www.tecnoy.es
Vedcor,http://www.trabajobasura.info/directorio/vedcor.html,4.93,12.0,http://www.vedcor.es
Aqua eSolutions,http://www.trabajobasura.info/directorio/aqua_esolutions.html,2.5,11.0,http://www.aquaesolutions.com
Balanku asesores,http://www.trabajobasura.info/directorio/balanku_asesores.html,5.4,11.0,http://www.balanku.com
Bee Solutions,http://www.trabajobasura.info/directorio/bee_solutions.html,5.42,11.0,http://www.bee.es
Bytech,http://www.trabajobasura.info/directorio/bytech.html,2.4,11.0,http://www.by.com.es
Consultia It,http://www.trabajobasura.info/directorio/consultia_it.html,3.41,11.0,http://www.consultia.biz
Cryterium Multimedia,http://www.trabajobasura.info/directorio/cryterium_multimedia.html,5.0,11.0,http://www.cryterium.es
d-Core,http://www.trabajobasura.info/directorio/d-core.html,4.12,11.0,http://www.t-systems.es/tsi/es/236834/Homepage/SobreTSystems/General/d-core
Docout,http://www.trabajobasura.info/directorio/docout.html,3.97,11.0,http://www.docout.es
Ecija,http://www.trabajobasura.info/directorio/ecija.html,3.4,11.0,http://www.ecija.com
Extra Software,http://www.trabajobasura.info/directorio/extra_software.html,4.53,11.0,http://www.extrasoft.es
Grupo NCL,http://www.trabajobasura.info/directorio/grupo_ncl.html,4.04,11.0,http://www.cadlan.com
Grupo Sms,http://www.trabajobasura.info/directorio/grupo_sms.html,4.28,11.0,http://www.grupo-sms.com
Ineco Tifsa,http://www.trabajobasura.info/directorio/ineco_tifsa.html,4.68,11.0,http://www.ineco.es
Logicalis Spain,http://www.trabajobasura.info/directorio/logicalis_spain.html,4.17,11.0,http://www.logicalis.com/logicalis-spain.aspx
Management Solutions,http://www.trabajobasura.info/directorio/management_solutions.html,2.45,11.0,http://www.msspain.com
montejava,http://www.trabajobasura.info/directorio/montejava.html,5.03,11.0,http://www.montejava.es
Nettium,http://www.trabajobasura.info/directorio/nettium.html,6.06,11.0,http://www.nettium.com
Novatech,http://www.trabajobasura.info/directorio/novatech.html,2.75,11.0,http://www.institutonovatech.com
OutServico,http://www.trabajobasura.info/directorio/outservico.html,3.16,11.0,http://www.outservico.com
ricoh,http://www.trabajobasura.info/directorio/ricoh.html,2.97,11.0,http://www.ricoh.es
Social Point,http://www.trabajobasura.info/directorio/social_point.html,6.02,11.0,http://www.socialpoint.es
Surfernet,http://www.trabajobasura.info/directorio/surfernet.html,4.63,11.0,http://www.surfernet.com/spanish/home/
TATA Consultancy Services,http://www.trabajobasura.info/directorio/tata_consultancy_services.html,2.9,11.0,http://www.tcs.com
Axis Corporate,http://www.trabajobasura.info/directorio/axis_corporate.html,5.74,10.0,http://www.axiscorporate.net
